clientId	timestamp	photo	authorName	message	value	is-member	channelId	channel	channel_name	video
CPz1jN2T6-sCFQMW4AodrNUK7Q1600172908616	1600172909115747	https://yt3.ggpht.com/-2OAKSm8Y6HU/AAAAAAAAAAI/AAAAAAAAAAA/gg3osucgfTw/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Валентина Терохович	белорусы угостим моль чаем 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPfP-8CO6-sCFYTIVQodWwwAHQ2	1600172911100314	https://yt3.ggpht.com/-4moTiR72dPo/AAAAAAAAAAI/AAAAAAAAAAA/hKX6t0CjuWU/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	G. а	1 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CKuAhL6T6-sCFZDmVQodFTMFpw3	1600172911604059	https://yt3.ggpht.com/-GSs_ds9UDeA/AAAAAAAAAAI/AAAAAAAAAAA/hFqqXmnEHfE/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	вacя федя	Гаагу ЗАСЫПИМ НОВИЧКОМ, ВСЮ) Путь судят рядат) Дохлые) 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CKm0lKOS6-sCFZRAmwodmDQHuQ1600172915346	1600172915436978	https://yt3.ggpht.com/-jc5VocGMfnQ/AAAAAAAAAAI/AAAAAAAAAAA/Wi3fQjA7kOU/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Никита Федоров	Беларуссы опомнитесь 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CMS6ocGU6-sCFVc08QUd38sP1g1600172916744	1600172917778099	https://yt3.ggpht.com/-XL-2pp5q-CE/AAAAAAAAAAI/AAAAAAAAAAA/NDM5Rzb8pys/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Kseka Kseka	ВСЕ В ИНСТАГРАМ НАВАЛЬНОГО !!!! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPyu7IuU6-sCFRFR4Aodlj8JkQ1600172928240	1600172928859159	https://yt3.ggpht.com/-94_aBE-oXaQ/AAAAAAAAAAI/AAAAAAAAAAA/IGfOORTX8ZY/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Сергей Смавкин	батька как и любой бизнесмен старался ради Беларуси и своего народа. а сейчас рос алигархия поглотит Беларуссию 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CMPHv82R6-sCFQPXVQodq_MPwQ1	1600172929319343	https://yt3.ggpht.com/-9z6xMZB6294/AAAAAAAAAAI/AAAAAAAAAAA/Y3XpfYXeBOA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Valentina	ПЛЕШИВЫЕ в памперсах ? 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CN_0nciT6-sCFdBysgodAnAJ1w1600172928235	1600172929482377	https://yt3.ggpht.com/-CHWH8hbewWw/AAAAAAAAAAI/AAAAAAAAAAA/OvkgFStMQpE/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Шухрат Мухлисов	все закончилис митинги 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLnFo7OU6-sCFY0ymwod4ZAL2Q1600172930310	1600172930080815	https://yt3.ggpht.com/-kiAi_LTbppU/AAAAAAAAAAI/AAAAAAAAAAA/tMc-OoLtgiw/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Дмитрий Альховик	Кстати военные базы бали зданы России в аренду на 25 лет. Срок истекает к концу года! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPz4_uGS6-sCFV7CTwgdtbwGkg1600172930393	1600172931904014	https://yt3.ggpht.com/-ND4n28s_1LQ/AAAAAAAAAAI/AAAAAAAAAAA/yGTI4-rrrZg/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Райса Абубакирова	Человек Путин опасно . 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CJbutY6S6-sCFYLaVQodGqQBow0	1600172933642077	https://yt3.ggpht.com/-yLPEFK63n-Q/AAAAAAAAAAI/AAAAAAAAAAA/7a920dCBu1I/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Director Director	Навальный - президент России!!! Тихановская - президент Белоруссии!!! А два старика обнулёныша - клиенты Гаага с высшей мерой обслуживания!!! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CODZlbKU6-sCFYvzVQodgWcIeA0	1600172934968736	https://yt3.ggpht.com/-4hbcqBIuGok/AAAAAAAAAAI/AAAAAAAAAAA/mu1-BnIoNfw/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Асан Жаанбаев	БАТЬКА УЙДЕТ , ПУТИН БАТЬКА ПРИДЕТ 100% .🤣🤣😂😂🤣🤣 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CKfs9reU6-sCFYv2VQodb68FYQ0	1600172977893953	https://yt3.ggpht.com/-XTII7DNwNzY/AAAAAAAAAAI/AAAAAAAAAAA/ioNpoUtdzkA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Алекс Фэс	Навального ждет Пашаев! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
